t_s,power,cadence
0,116,81
1,129,81
2,104,81
3,75,81
4,75,80
5,56,77
6,88,75
7,122,73
8,156,76
9,130,78
10,155,78
11,145,78
12,140,78
13,140,81
14,157,82
15,104,84
16,110,85
17,128,84
18,122,82
19,107,82
20,107,80
21,117,80
22,117,77
23,73,76
24,28,76
25,28,62
26,63,71
27,82,73
28,60,74
29,0,71
30,0,59
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,45
40,77,68
41,33,71
42,64,71
43,64,75
44,61,77
45,45,78
46,38,78
47,37,74
48,56,71
49,42,71
50,36,71
51,24,72
52,0,66
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,26
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
674,,0
675,,0
676,0,0
677,0,0
678,0,0
679,0,0
680,0,0
681,0,0
682,0,0
683,0,0
684,0,0
685,0,0
700,,0
701,65,21
702,139,42
703,62,46
704,19,0
705,19,0
706,19,37
707,102,43
708,132,46
709,180,52
710,149,56
711,114,60
712,112,63
713,132,66
714,160,69
715,179,66
716,192,73
717,218,72
718,217,67
719,191,62
720,189,58
721,157,53
722,105,48
723,25,36
724,147,50
725,167,61
726,118,69
727,145,71
728,80,74
729,59,76
730,71,73
731,64,71
732,20,53
733,65,70
734,86,72
735,85,74
736,79,76
737,76,76
738,74,78
739,39,77
740,0,0
741,0,0
742,0,0
743,0,0
744,20,39
745,57,0
746,57,71
747,98,74
748,139,81
749,123,81
750,74,80
751,151,80
752,84,80
753,86,74
754,180,68
755,155,66
756,37,0
757,38,43
758,105,68
759,81,71
760,84,72
761,47,71
762,0,0
763,0,0
764,0,0
765,0,0
766,0,0
767,0,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
774,0,0
775,0,0
776,0,0
777,0,0
778,0,0
779,0,0
780,0,0
781,0,0
782,0,0
783,0,0
784,0,0
785,0,0
786,0,0
787,0,0
788,0,0
789,0,0
790,0,0
791,0,0
792,0,0
793,0,0
794,0,0
795,0,0
2615,,0
2616,0,0
2617,0,0
2618,0,0
2619,49,21
2620,24,21
2621,63,20
2622,42,24
2623,45,0
2624,46,26
2625,116,28
2626,0,0
2627,0,0
2628,0,0
2629,116,28
2630,136,32
2631,26,0
2632,27,38
2633,98,43
2634,108,49
2635,46,49
2636,61,47
2637,85,47
2638,81,47
2639,77,47
2640,66,47
2641,79,45
2642,74,45
2643,68,46
2644,112,48
2645,99,51
2646,54,49
2647,88,49
2648,90,50
2649,63,49
2650,65,47
2651,58,45
2652,75,44
2653,84,46
2654,57,46
2655,72,44
2656,59,44
2657,76,44
2658,85,44
2659,167,47
2660,213,54
2661,73,0
2662,74,40
2663,189,61
2664,165,61
2665,180,61
2666,130,53
2667,73,67
2668,134,68
2669,63,68
2670,104,65
2671,155,65
2672,124,67
2673,111,67
2674,79,65
2675,99,64
2676,119,64
2677,95,67
2678,86,69
2679,64,68
2680,80,67
2681,114,68
2682,98,66
2683,79,68
2684,86,67
2685,125,69
2686,57,73
2687,40,75
2688,46,74
2689,55,68
2690,67,69
2691,119,71
2692,36,67
2693,0,0
2694,0,0
2695,0,30
2696,0,30
2697,0,0
2698,40,41
2699,97,51
2700,0,0
2701,0,53
2702,0,0
2703,0,0
2704,0,0
2705,0,0
2706,0,0
2707,0,0
2708,40,59
2709,12,63
2710,0,0
2711,0,43
2712,0,49
2713,0,0
2714,0,0
2715,0,35
2716,0,0
2717,0,0
2718,0,0
2719,0,0
2720,0,0
2721,0,0
2722,0,0
2723,0,0
2724,0,0
2725,0,33
2726,0,0
2727,0,0
2728,0,0
2729,0,0
2730,0,0
2731,0,0
2732,0,0
2733,0,0
2734,50,22
2735,97,33
2736,42,42
2737,0,41
2738,0,0
2739,0,0
2740,0,0
2741,0,0
2742,0,0
2743,0,0
2744,0,0
2745,0,0
2746,0,0
2747,0,0
2748,0,0
2749,0,0
2750,0,0
2751,0,0
3372,,0
3373,0,0
3374,0,0
3375,0,0
3376,0,0
3377,0,0
3378,83,45
3379,86,45
3380,86,53
3381,0,53
3382,0,0
3383,0,0
3384,0,0
3385,0,0
3386,0,0
3387,0,0
3388,0,0
3389,0,0
3390,0,0
3391,0,0
3392,0,34
3393,0,0
3394,0,0
3395,0,0
3396,0,0
3397,0,0
3398,0,0
3399,0,0
3400,0,0
3401,0,0
3402,48,42
3403,83,47
3404,8,0
3405,8,40
3406,28,49
3407,0,0
3408,0,0
3409,0,0
3410,0,0
3411,0,0
3412,0,0
3413,0,0
3414,0,0
3415,0,0
3416,0,33
3417,0,33
3418,0,0
3419,0,0
3420,11,30
3421,57,57
3422,64,57
3423,64,57
3424,10,52
3425,56,53
3426,42,56
3427,171,56
3428,171,64
3429,254,69
3430,184,69
3431,184,75
3432,184,72
3433,98,75
3434,103,75
3435,103,74
3436,65,72
3437,72,72
3438,206,75
3439,226,79
3440,150,79
3441,150,79
3442,5,0
3443,0,0
3444,0,0
3445,0,0
3446,0,0
3447,0,0
3448,0,0
3449,0,0
3450,0,0
3451,0,0
3452,0,37
3453,22,58
3454,0,0
3455,0,0
3456,0,0
3457,0,0
3458,0,0
3459,0,0
3460,0,0
3461,0,0
3462,0,0
3463,0,0
3464,0,0
3465,0,0
3466,7,40
3467,90,58
3468,0,58
3469,0,0
3470,0,0
3471,0,0
3472,0,0
3473,0,0
3474,0,0
3475,0,0
3476,0,0
3477,0,0
3478,0,0
3479,0,0
3480,0,0
3481,0,0
3482,0,0
3483,0,0
3484,0,0
3485,0,37
3486,0,37
3487,0,51
3488,0,51
3489,0,0
3490,0,0
3491,0,0
3492,0,0
3493,0,0
3494,0,0
3495,0,0
3496,0,0
3497,0,0
3498,0,0
3499,0,0
3500,0,0
3501,0,0
3502,0,0
3503,0,0
3504,0,0
3505,0,0
3506,0,0
3507,0,0
3508,0,0
3509,,0
3510,,0
3511,,0
3512,,0
3513,,0
3514,0,0
3515,0,0
3516,0,0
3517,0,0
3518,0,52
3519,0,0
3520,0,0
3521,0,0
3522,0,0
3523,0,0
3524,0,0
3525,0,0
3526,0,0
3527,0,0
3528,24,41
3529,0,60
3530,0,0
3531,0,0
3532,0,0
3533,16,34
3534,204,63
3535,468,66
3536,456,73
3537,313,74
3538,201,49
3539,265,84
3540,136,89
3541,86,91
3542,89,88
3543,40,88
3544,40,69
3545,0,0
3546,0,0
3547,0,0
3548,0,0
3549,0,0
3550,0,0
3551,0,39
3552,0,58
3553,0,0
3554,0,0
3555,0,0
3556,0,0
3557,0,0
3558,112,57
3559,43,75
3560,6,58
3561,6,70
3562,6,66
3563,35,71
3564,0,0
3565,0,0
3566,0,0
3567,0,0
3568,0,0
3569,0,0
3570,0,40
3571,0,64
3572,0,62
3573,0,57
3574,0,0
3575,0,0
3576,0,0
3577,0,0
3578,0,0
3579,0,0
3580,0,0
3581,0,0
3582,0,0
3583,0,0
3584,0,0
3585,0,0
3586,29,45
3587,23,45
3588,23,69
3589,0,63
3590,0,68
3591,0,0
3592,0,0
3593,0,0
3594,0,0
3595,0,0
3596,0,0
3597,0,0
3598,0,0
3599,0,0
3600,39,74
3601,16,74
3602,0,0
3603,0,0
3604,0,0
3605,0,0
3606,0,0
3607,39,75
3608,17,75
3609,17,38
3610,8,38
3611,8,0
3612,8,53
3613,28,0
3614,28,0
3615,30,53
3616,0,61
3617,0,0
3618,0,33
3619,0,0
3620,0,0
3621,0,0
3622,0,0
3623,0,0
3624,0,0
3625,0,0
3626,0,0
3627,0,0
3628,87,80
3629,30,69
3630,89,60
3631,96,81
3632,56,82
3633,35,82
3634,35,77
3635,74,77
3636,74,83
3637,68,84
3638,100,84
3639,149,85
3640,169,87
3641,40,85
3642,0,0
3643,0,0
3644,0,0
3645,0,0
3646,0,0
3647,0,0
3648,0,0
3649,169,83
3650,134,83
3651,182,84
3652,228,85
3653,143,85
3654,143,87
3655,165,87
3656,145,88
3657,212,89
3658,196,90
